instance family lad-values-removed lad-values-removed-percent lad-values-removed-min lad-values-removed-max lad-time lad-detected-inconsistent
F.04 1 99.666664 65.381481 99.666664 3.333333 12 false
C.18 1 99.599998 46.495889 99.599998 0.000000 10 false
A.04 1 98.000000 44.322222 98.000000 0.000000 0 false
C.02 1 98.500000 46.455111 98.500000 0.000000 11 false
E.01 1 0 100 0 0 7 true
F.20 1 99.000000 52.590123 99.000000 2.000000 14 false
B.20 1 99.166664 43.905247 99.166664 0.000000 4 false
C.08 1 99.500000 48.025444 99.500000 0.000000 10 false
B.11 1 98.666664 46.884877 98.666664 0.000000 4 false
C.10 1 99.400002 42.314556 99.400002 0.000000 11 false
B.06 1 99.666664 47.521605 99.666664 0.000000 4 false
F.08 1 98.666664 55.683951 98.666664 2.000000 14 false
B.07 1 98.833336 43.541975 98.833336 0.000000 3 false
E.04 1 0 100 0 0 4 true
C.01 1 98.400002 47.100222 98.400002 0.000000 10 false
B.10 1 98.833336 46.962346 98.833336 0.000000 4 false
A.15 1 95.000000 42.083333 95.000000 0.000000 0 false
C.19 1 99.900002 47.069000 99.900002 0.000000 11 false
B.02 1 98.833336 45.501235 98.833336 0.000000 4 false
E.06 1 0 100 0 0 5 true
E.18 1 0 100 0 0 4 true
C.20 1 99.599998 48.271111 99.599998 0.000000 10 false
F.02 1 99.666664 65.030864 99.666664 3.333333 14 false
F.11 1 99.666664 71.385185 99.666664 9.666667 12 false
F.12 1 99.666664 66.309877 99.666664 14.333333 12 false
E.05 1 0 100 0 0 10 true
B.16 1 98.666664 43.963580 98.666664 0.000000 4 false
A.08 1 98.500000 53.655556 98.500000 0.000000 0 false
C.14 1 99.599998 45.057444 99.599998 0.000000 9 false
F.16 1 99.666664 69.745679 99.666664 3.000000 13 false
F.06 1 99.666664 55.800000 99.666664 0.000000 13 false
A.03 1 97.500000 46.361111 97.500000 0.000000 0 false
E.19 1 0 100 0 0 2 true
C.15 1 99.800003 46.829778 99.800003 0.000000 10 false
A.16 1 96.500000 36.941667 96.500000 0.000000 0 false
B.14 1 99.500000 44.580556 99.500000 0.000000 2 false
A.02 1 96.500000 43.883333 96.500000 0.000000 0 false
F.14 1 99.666664 69.804938 99.666664 0.666667 10 false
F.05 1 99.000000 66.482716 99.000000 0.333333 11 false
B.09 1 99.000000 42.757716 99.000000 0.000000 4 false
A.01 1 98.000000 44.102778 98.000000 0.000000 0 false
C.05 1 99.699997 48.758889 99.699997 0.000000 11 false
B.01 1 99.666664 47.976852 99.666664 0.000000 4 false
A.09 1 99.000000 49.041667 99.000000 0.000000 0 false
A.07 1 99.000000 52.836111 99.000000 0.000000 0 false
F.03 1 99.666664 67.445679 99.666664 12.000000 13 false
E.12 1 0 100 0 0 11 true
C.06 1 98.300003 45.048222 98.300003 0.000000 11 false
C.09 1 99.300003 48.065556 99.300003 0.000000 10 false
B.17 1 99.666664 42.474383 99.666664 0.000000 2 false
C.07 1 98.599998 43.893333 98.599998 0.000000 10 false
E.09 1 0 100 0 0 13 true
E.17 1 0 100 0 0 2 true
C.11 1 98.900002 46.250889 98.900002 0.000000 10 false
F.10 1 0 100 0 0 1 true
A.17 1 98.000000 44.619444 98.000000 0.000000 0 false
B.15 1 99.500000 46.389198 99.500000 0.000000 4 false
E.03 1 0 100 0 0 5 true
F.19 1 99.666664 67.058025 99.666664 6.333333 13 false
A.12 1 98.500000 47.180556 98.500000 0.000000 0 false
B.08 1 99.000000 47.699074 99.000000 0.000000 4 false
F.17 1 99.666664 65.183951 99.666664 12.000000 14 false
C.04 1 99.300003 46.142222 99.300003 0.000000 10 false
B.19 1 99.666664 47.724383 99.666664 0.000000 4 false
C.16 1 99.699997 48.187222 99.699997 0.000000 11 false
C.17 1 99.199997 46.031222 99.199997 0.000000 10 false
E.08 1 0 100 0 0 6 true
F.13 1 98.666664 53.681481 98.666664 2.000000 13 false
A.20 1 98.500000 50.066667 98.500000 0.000000 0 false
E.02 1 0 100 0 0 2 true
E.16 1 0 100 0 0 3 true
B.12 1 99.500000 42.632716 99.500000 0.000000 3 false
F.09 1 99.666664 59.049383 99.666664 1.333333 15 false
A.10 1 98.500000 44.430556 98.500000 0.000000 0 false
F.18 1 99.666664 65.577778 99.666664 6.333333 14 false
E.10 1 99.666664 71.333333 99.666664 9.666667 12 false
A.06 1 91.000000 41.300000 91.000000 0.000000 0 false
E.15 1 0 100 0 0 7 true
E.07 1 0 100 0 0 2 true
E.11 1 0 100 0 0 4 true
B.03 1 98.666664 44.620988 98.666664 0.000000 3 false
B.18 1 99.333336 47.968210 99.333336 0.000000 4 false
C.03 1 99.599998 46.978444 99.599998 0.000000 9 false
A.18 1 95.000000 44.730556 95.000000 0.000000 0 false
F.15 1 99.666664 69.956790 99.666664 15.000000 12 false
A.19 1 98.500000 41.513889 98.500000 0.000000 0 false
C.12 1 99.599998 47.178667 99.599998 0.000000 10 false
B.05 1 99.333336 47.997222 99.333336 0.000000 4 false
A.13 1 99.000000 46.497222 99.000000 0.000000 0 false
A.05 1 98.000000 46.711111 98.000000 0.000000 0 false
F.01 1 99.666664 71.722222 99.666664 12.333333 13 false
E.20 1 0 100 0 0 3 true
B.13 1 99.500000 48.848148 99.500000 0.000000 3 false
A.14 1 95.500000 41.038889 95.500000 0.000000 0 false
B.04 1 99.833336 41.613580 99.833336 0.000000 4 false
C.13 1 98.199997 44.483556 98.199997 0.000000 11 false
F.07 1 99.666664 66.502469 99.666664 1.666667 13 false
E.13 1 0 100 0 0 2 true
E.14 1 0 100 0 0 11 true
A.11 1 99.500000 48.141667 99.500000 0.000000 0 false
si6_r005_m400.07 7 17.250000 1.333333 17.250000 0.000000 8 false
si6_r005_m400.00 7 24.250000 1.305208 24.250000 0.000000 9 false
si6_r005_m400.01 7 40.750000 1.407292 40.750000 0.000000 8 false
si6_r005_m400.02 7 30.250000 1.771875 30.250000 0.000000 8 false
si6_r005_m400.04 7 57.000000 0.940625 57.000000 0.000000 9 false
si6_r005_m400.05 7 29.000000 0.842708 29.000000 0.000000 8 false
si6_r005_m400.09 7 45.750000 2.077083 45.750000 0.000000 9 false
si6_r005_m400.03 7 40.750000 1.143750 40.750000 0.000000 8 false
si6_r005_m400.06 7 33.250000 1.816667 33.250000 0.000000 8 false
si6_r005_m400.08 7 29.000000 1.560417 29.000000 0.000000 9 false
si6_m4Dr6_m625.04 6 99.839996 47.397120 99.839996 0.160000 4 false
si6_m4Dr6_m625.01 6 99.839996 56.447147 99.839996 1.280000 3 false
si6_m4Dr6_m625.09 6 99.839996 45.622613 99.839996 0.160000 4 false
