instance,family,lad-values-removed,lad-values-removed-percent,lad-values-removed-min,lad-values-removed-max,lad-time,lad-detected-inconsistent
F.04,1,52959,65.381481,3.333333,99.666664,13,false
C.18,1,418463,46.495889,0.000000,99.599998,10,false
A.04,1,15956,44.322222,0.000000,98.000000,0,false
C.02,1,418096,46.455111,0.000000,98.500000,11,false
E.01,1,0,100,0,0,8,true
F.20,1,42598,52.590123,2.000000,99.000000,14,false
B.20,1,142253,43.905247,0.000000,99.166664,3,false
C.08,1,432229,48.025444,0.000000,99.500000,10,false
B.11,1,151907,46.884877,0.000000,98.666664,3,false
C.10,1,380831,42.314556,0.000000,99.400002,11,false
B.06,1,153970,47.521605,0.000000,99.666664,3,false
F.08,1,45104,55.683951,2.000000,98.666664,14,false
B.07,1,141076,43.541975,0.000000,98.833336,4,false
E.04,1,0,100,0,0,4,true
C.01,1,423902,47.100222,0.000000,98.400002,10,false
B.10,1,152158,46.962346,0.000000,98.833336,4,false
A.15,1,15150,42.083333,0.000000,95.000000,0,false
C.19,1,423621,47.069000,0.000000,99.900002,11,false
B.02,1,147424,45.501235,0.000000,98.833336,3,false
E.06,1,0,100,0,0,4,true
E.18,1,0,100,0,0,3,true
C.20,1,434440,48.271111,0.000000,99.599998,12,false
F.02,1,52675,65.030864,3.333333,99.666664,14,false
F.11,1,57822,71.385185,9.666667,99.666664,13,false
F.12,1,53711,66.309877,14.333333,99.666664,12,false
E.05,1,0,100,0,0,12,true
B.16,1,142442,43.963580,0.000000,98.666664,4,false
A.08,1,19316,53.655556,0.000000,98.500000,0,false
C.14,1,405517,45.057444,0.000000,99.599998,12,false
F.16,1,56494,69.745679,3.000000,99.666664,13,false
F.06,1,45198,55.800000,0.000000,99.666664,13,false
A.03,1,16690,46.361111,0.000000,97.500000,0,false
E.19,1,0,100,0,0,3,true
C.15,1,421468,46.829778,0.000000,99.800003,10,false
A.16,1,13299,36.941667,0.000000,96.500000,0,false
B.14,1,144441,44.580556,0.000000,99.500000,4,false
A.02,1,15798,43.883333,0.000000,96.500000,0,false
F.14,1,56542,69.804938,0.666667,99.666664,11,false
F.05,1,53851,66.482716,0.333333,99.000000,11,false
B.09,1,138535,42.757716,0.000000,99.000000,3,false
A.01,1,15877,44.102778,0.000000,98.000000,0,false
C.05,1,438830,48.758889,0.000000,99.699997,11,false
B.01,1,155445,47.976852,0.000000,99.666664,4,false
A.09,1,17655,49.041667,0.000000,99.000000,0,false
A.07,1,19021,52.836111,0.000000,99.000000,0,false
F.03,1,54631,67.445679,12.000000,99.666664,13,false
E.12,1,0,100,0,0,11,true
C.06,1,405434,45.048222,0.000000,98.300003,11,false
C.09,1,432590,48.065556,0.000000,99.300003,12,false
B.17,1,137617,42.474383,0.000000,99.666664,4,false
C.07,1,395040,43.893333,0.000000,98.599998,10,false
E.09,1,0,100,0,0,14,true
E.17,1,0,100,0,0,3,true
C.11,1,416258,46.250889,0.000000,98.900002,9,false
F.10,1,0,100,0,0,2,true
