"instance_id","solver","time","type"
"A.01","lad",11,"alg"
"A.02","lad",12,"alg"
"A.03","lad",18,"alg"
"A.04","lad",12,"alg"
"A.05","lad",10,"alg"
"A.06","lad",28,"alg"
"A.07","lad",9,"alg"
"A.08","lad",11,"alg"
"A.09","lad",11,"alg"
"A.10","lad",14,"alg"
"A.11","lad",12,"alg"
"A.12","lad",10,"alg"
"A.13","lad",10,"alg"
"A.14","lad",42,"alg"
"A.15","lad",19,"alg"
"A.16","lad",18,"alg"
"A.17","lad",24,"alg"
"A.18","lad",15,"alg"
"A.19","lad",18,"alg"
"A.20","lad",9,"alg"
"B.01","lad",104,"alg"
"B.02","lad",217,"alg"
"B.03","lad",187,"alg"
"B.04","lad",98,"alg"
"B.05","lad",244,"alg"
"B.06","lad",106,"alg"
"B.07","lad",114,"alg"
"B.08","lad",108,"alg"
"B.09","lad",193,"alg"
"B.10","lad",112,"alg"
"B.11","lad",339,"alg"
"B.12","lad",141,"alg"
"B.13","lad",107,"alg"
"B.14","lad",189,"alg"
"B.15","lad",107,"alg"
"B.16","lad",106,"alg"
"B.17","lad",103,"alg"
"B.18","lad",191,"alg"
"B.19","lad",175,"alg"
"B.20","lad",112,"alg"
"C.01","lad",374,"alg"
"C.02","lad",287,"alg"
"C.03","lad",267,"alg"
"C.04","lad",314,"alg"
"C.05","lad",292,"alg"
"C.06","lad",416,"alg"
"C.07","lad",408,"alg"
"C.08","lad",341,"alg"
"C.09","lad",282,"alg"
"C.10","lad",502,"alg"
"C.11","lad",613,"alg"
"C.12","lad",275,"alg"
"C.13","lad",682,"alg"
"C.14","lad",558,"alg"
"C.15","lad",277,"alg"
"C.16","lad",309,"alg"
"C.17","lad",329,"alg"
"C.18","lad",415,"alg"
"C.19","lad",308,"alg"
"C.20","lad",458,"alg"
"E.01","lad",75,"alg"
"E.02","lad",10,"alg"
"E.03","lad",42,"alg"
"E.04","lad",32,"alg"
"E.05","lad",104,"alg"
"E.06","lad",28,"alg"
"E.07","lad",5,"alg"
"E.08","lad",58,"alg"
"E.09","lad",140,"alg"
"E.10","lad",151,"alg"
"E.11","lad",22,"alg"
"E.12","lad",128,"alg"
"E.13","lad",15,"alg"
"E.14","lad",122,"alg"
"E.15","lad",79,"alg"
"E.16","lad",24,"alg"
"E.17","lad",13,"alg"
"E.18","lad",32,"alg"
"E.19","lad",14,"alg"
"E.20","lad",16,"alg"
"F.01","lad",154,"alg"
"F.02","lad",295,"alg"
"F.03","lad",175,"alg"
"F.04","lad",387,"alg"
"F.05","lad",285,"alg"
"F.06","lad",1051,"alg"
"F.07","lad",188,"alg"
"F.08","lad",2609,"alg"
"F.09","lad",721,"alg"
"F.10","lad",5,"alg"
"F.11","lad",163,"alg"
"F.12","lad",237,"alg"
"F.13","lad",2018,"alg"
"F.14","lad",180,"alg"
"F.15","lad",156,"alg"
"F.16","lad",212,"alg"
"F.17","lad",514,"alg"
"F.18","lad",270,"alg"
