"instance_id","solver","time","type"
"A.01","lad",11,"alg"
"A.02","lad",12,"alg"
"A.03","lad",18,"alg"
"A.04","lad",12,"alg"
"A.05","lad",10,"alg"
"A.06","lad",28,"alg"
"A.07","lad",9,"alg"
"A.08","lad",11,"alg"
"A.09","lad",11,"alg"
"A.10","lad",14,"alg"
"A.11","lad",12,"alg"
"A.12","lad",10,"alg"
"A.13","lad",10,"alg"
"A.14","lad",42,"alg"
"A.15","lad",19,"alg"
"A.16","lad",18,"alg"
"A.17","lad",24,"alg"
"A.18","lad",15,"alg"
"A.19","lad",18,"alg"
"A.20","lad",9,"alg"
"B.01","lad",104,"alg"
"B.02","lad",217,"alg"
"B.03","lad",187,"alg"
"B.04","lad",98,"alg"
"B.05","lad",244,"alg"
"B.06","lad",106,"alg"
"B.07","lad",114,"alg"
"B.08","lad",108,"alg"
"B.09","lad",193,"alg"
"B.10","lad",112,"alg"
"B.11","lad",339,"alg"
"B.12","lad",141,"alg"
"B.13","lad",107,"alg"
"B.14","lad",189,"alg"
"B.15","lad",107,"alg"
"B.16","lad",106,"alg"
"B.17","lad",103,"alg"
"B.18","lad",191,"alg"
"B.19","lad",175,"alg"
"B.20","lad",112,"alg"
"C.01","lad",374,"alg"
"C.02","lad",287,"alg"
"C.03","lad",267,"alg"
"C.04","lad",314,"alg"
"C.05","lad",292,"alg"
"C.06","lad",416,"alg"
"C.07","lad",408,"alg"
"C.08","lad",341,"alg"
"C.09","lad",282,"alg"
"C.10","lad",502,"alg"
"C.11","lad",613,"alg"
"C.12","lad",275,"alg"
"C.13","lad",682,"alg"
"C.14","lad",558,"alg"
"C.15","lad",277,"alg"
"C.16","lad",309,"alg"
"C.17","lad",329,"alg"
"C.18","lad",415,"alg"
"C.19","lad",308,"alg"
"C.20","lad",458,"alg"
"E.10","lad",151,"alg"
"F.01","lad",154,"alg"
"F.02","lad",295,"alg"
"F.03","lad",175,"alg"
"F.04","lad",387,"alg"
"F.05","lad",285,"alg"
"F.06","lad",1051,"alg"
"F.07","lad",188,"alg"
"F.08","lad",2609,"alg"
"F.09","lad",721,"alg"
"F.11","lad",163,"alg"
"F.12","lad",237,"alg"
"F.13","lad",2018,"alg"
"F.14","lad",180,"alg"
"F.15","lad",156,"alg"
"F.16","lad",212,"alg"
"F.17","lad",514,"alg"
"F.18","lad",270,"alg"
"F.19","lad",230,"alg"
"F.20","lad",5423,"alg"
"PR15-1","lad",1564,"alg"
"PR15-10","lad",1099,"alg"
"PR15-11","lad",628,"alg"
"PR15-12","lad",2218,"alg"
"PR15-13","lad",1212,"alg"
"PR15-14","lad",14020,"alg"
"PR15-15","lad",1615,"alg"
"PR15-16","lad",475,"alg"
"PR15-17","lad",857,"alg"
"PR15-18","lad",11138,"alg"
"PR15-19","lad",1264,"alg"
"PR15-2","lad",42576,"alg"
"PR15-20","lad",985,"alg"
"PR15-21","lad",82,"alg"
"PR15-22","lad",1533,"alg"
