instance family pattern-time pattern-vertices pattern-edges pattern-loops pattern-meandeg pattern-maxdeg pattern-degisfixed pattern-density target-time target-vertices target-edges target-loops target-meandeg target-maxdeg target-degisfixed target-density
F.04 1 0 270 5359 0 39.6963 262 0 0.14757 0 300 6656 0 44.3733 291 0 0.148406
C.18 1 1 900 2424 0 5.38667 8 0 0.00599184 1 1000 2976 0 5.952 8 0 0.00595796
A.04 1 0 180 496 0 5.51111 8 0 0.0307883 0 200 611 0 6.11 8 0 0.0307035
C.02 1 1 900 2463 0 5.47333 8 0 0.00608825 1 1000 3032 0 6.064 8 0 0.00607007
E.01 1 0 270 5666 2 41.963 223 0 0.156024 0 300 6752 0 45.0133 269 0 0.150546
F.20 1 0 270 5186 0 38.4148 222 0 0.142806 0 300 6568 0 43.7867 266 0 0.146444
B.20 1 0 540 1455 0 5.38889 8 0 0.00999794 0 600 1796 0 5.98667 8 0 0.00999444
C.08 1 1 900 2461 0 5.46889 8 0 0.0060833 1 1000 3006 0 6.012 8 0 0.00601802
B.11 1 0 540 1466 0 5.42963 8 0 0.0100735 0 600 1804 0 6.01333 8 0 0.010039
C.10 1 1 900 2435 0 5.41111 8 0 0.00601903 1 1000 3032 0 6.064 8 0 0.00607007
B.06 1 0 540 1475 0 5.46296 8 0 0.0101354 0 600 1808 0 6.02667 8 0 0.0100612
F.08 1 0 270 5778 0 42.8 239 0 0.159108 0 300 7137 0 47.58 266 0 0.15913
B.07 1 0 540 1468 0 5.43704 8 0 0.0100873 0 600 1816 0 6.05333 8 0 0.0101057
E.04 1 0 270 5510 1 40.8111 220 0 0.151728 0 300 6621 0 44.14 274 0 0.147625
C.01 1 1 900 2451 0 5.44667 8 0 0.00605858 1 1000 3000 0 6 8 0 0.00600601
B.10 1 0 540 1484 0 5.4963 8 0 0.0101972 0 600 1814 0 6.04667 8 0 0.0100946
A.15 1 0 180 479 0 5.32222 8 0 0.0297331 0 200 596 0 5.96 8 0 0.0299497
C.19 1 1 900 2453 0 5.45111 8 0 0.00606353 1 1000 3020 0 6.04 8 0 0.00604605
B.02 1 0 540 1470 0 5.44444 8 0 0.010101 0 600 1815 0 6.05 8 0 0.0101002
E.06 1 0 270 5485 1 40.6259 222 0 0.15104 0 300 6641 0 44.2733 277 0 0.148071
E.18 1 0 270 5130 2 37.9926 187 0 0.141264 0 300 6283 0 41.8867 226 0 0.140089
C.20 1 1 900 2478 0 5.50667 8 0 0.00612532 1 1000 3024 0 6.048 8 0 0.00605405
F.02 1 0 270 5768 0 42.7259 267 0 0.158832 0 300 6941 0 46.2733 297 0 0.15476
F.11 1 0 270 5978 0 44.2815 268 0 0.164615 0 300 6836 0 45.5733 297 0 0.152419
F.12 1 0 270 5782 0 42.8296 228 0 0.159218 0 300 6777 0 45.18 253 0 0.151104
E.05 1 0 270 5067 1 37.5296 231 0 0.139529 0 300 6829 0 45.5267 282 0 0.152263
B.16 1 0 540 1466 0 5.42963 8 0 0.0100735 0 600 1811 0 6.03667 8 0 0.0100779
A.08 1 0 180 491 0 5.45556 8 0 0.030478 0 200 597 0 5.97 8 0 0.03
C.14 1 1 900 2443 0 5.42889 8 0 0.00603881 1 1000 3022 0 6.044 8 0 0.00605005
F.16 1 0 270 5900 0 43.7037 268 0 0.162467 0 300 6996 0 46.64 298 0 0.155987
F.06 1 0 270 5147 0 38.1259 239 0 0.141732 0 300 6538 0 43.5867 265 0 0.145775
A.03 1 0 180 503 0 5.58889 8 0 0.0312228 0 200 609 0 6.09 8 0 0.030603
E.19 1 0 270 5124 5 37.937 236 0 0.141099 0 300 6079 0 40.5267 294 0 0.135541
C.15 1 1 900 2434 0 5.40889 8 0 0.00601656 1 1000 2994 0 5.988 8 0 0.00599399
A.16 1 0 180 486 0 5.4 8 0 0.0301676 0 200 610 0 6.1 8 0 0.0306533
B.14 1 0 540 1466 0 5.42963 8 0 0.0100735 0 600 1810 0 6.03333 8 0 0.0100723
A.02 1 0 180 491 0 5.45556 8 0 0.030478 0 200 601 0 6.01 8 0 0.030201
F.14 1 0 270 5391 0 39.9333 231 0 0.148451 0 300 6397 0 42.6467 255 0 0.142631
F.05 1 0 270 5510 0 40.8148 225 0 0.151728 0 300 6578 0 43.8533 251 0 0.146667
B.09 1 0 540 1448 0 5.36296 8 0 0.00994984 0 600 1805 0 6.01667 8 0 0.0100445
A.01 1 0 180 497 0 5.52222 8 0 0.0308504 0 200 612 0 6.12 8 0 0.0307538
C.05 1 1 900 2459 0 5.46444 8 0 0.00607836 1 1000 3000 0 6 8 0 0.00600601
B.01 1 0 540 1457 0 5.3963 8 0 0.0100117 0 600 1796 0 5.98667 8 0 0.00999444
A.09 1 0 180 483 0 5.36667 8 0 0.0299814 0 200 596 0 5.96 8 0 0.0299497
A.07 1 0 180 488 0 5.42222 8 0 0.0302917 0 200 592 0 5.92 8 0 0.0297487
F.03 1 0 270 5490 0 40.6667 260 0 0.151177 0 300 6391 0 42.6067 289 0 0.142497
E.12 1 0 270 5480 3 40.5815 197 0 0.150902 0 300 6891 0 45.94 241 0 0.153645
C.06 1 1 900 2434 0 5.40889 8 0 0.00601656 1 1000 3004 0 6.008 8 0 0.00601401
C.09 1 1 900 2445 0 5.43333 8 0 0.00604375 1 1000 2985 0 5.97 8 0 0.00597598
B.17 1 0 540 1456 0 5.39259 8 0 0.0100048 0 600 1811 0 6.03667 8 0 0.0100779
C.07 1 1 900 2467 0 5.48222 8 0 0.00609813 1 1000 3043 0 6.086 8 0 0.00609209
E.09 1 0 270 5536 2 41 233 0 0.152444 0 300 6758 0 45.0533 282 0 0.15068
E.17 1 0 270 4990 1 36.9593 234 0 0.137409 0 300 6521 0 43.4733 295 0 0.145396
C.11 1 1 900 2460 0 5.46667 8 0 0.00608083 1 1000 3021 0 6.042 8 0 0.00604805
F.10 1 0 270 5874 3 43.5 236 0 0.161751 0 300 6935 0 46.2333 296 0 0.154627
A.17 1 0 180 488 0 5.42222 8 0 0.0302917 0 200 602 0 6.02 8 0 0.0302513
B.15 1 0 540 1475 0 5.46296 8 0 0.0101354 0 600 1813 0 6.04333 8 0 0.010089
E.03 1 0 270 5176 2 38.3333 206 0 0.142531 0 300 6207 0 41.38 249 0 0.138395
F.19 1 0 270 5391 0 39.9333 268 0 0.148451 0 300 6435 0 42.9 298 0 0.143478
A.12 1 0 180 487 0 5.41111 8 0 0.0302297 0 200 600 0 6 8 0 0.0301508
B.08 1 0 540 1459 0 5.4037 8 0 0.0100254 0 600 1791 0 5.97 8 0 0.00996661
