instance family pattern-time pattern-isconnected pattern-meandistance pattern-maxdistance pattern-proportiondistancege2 pattern-proportiondistancege3 pattern-proportiondistancege4 target-time target-isconnected target-meandistance target-maxdistance target-proportiondistancege2 target-proportiondistancege3 target-proportiondistancege4
F.04 1 21 1 1.85243 2 0.849273 0 0 30 1 1.85173 3 0.848756 0.000133333 0
C.18 1 90 1 4.33491 7 0.992904 0.965407 0.847573 122 1 4.16967 6 0.993048 0.96294 0.822674
A.04 1 2 1 3.24053 5 0.963827 0.82821 0.411667 3 1 3.14085 5 0.96445 0.81575 0.34385
C.02 1 89 1 4.29107 7 0.992807 0.964378 0.840644 122 1 4.12513 6 0.992936 0.961616 0.812844
E.01 1 21 1 1.84431 3 0.840905 0.000274348 0 30 1 1.84957 3 0.846622 0.000111111 0
F.20 1 22 1 1.85774 3 0.854019 0.000548697 0 30 1 1.85367 3 0.850711 0.000111111 0
B.20 1 25 1 4.00007 6 0.988169 0.942853 0.758601 34 1 3.8405 6 0.988356 0.938094 0.716278
C.08 1 89 1 4.29605 7 0.992812 0.964348 0.840627 122 1 4.14441 6 0.992988 0.962162 0.816908
B.11 1 25 1 3.9876 6 0.988093 0.941975 0.755192 35 1 3.84008 6 0.988311 0.937689 0.716167
C.10 1 91 1 4.32488 7 0.992877 0.965158 0.846015 124 1 4.12419 6 0.992936 0.96154 0.81257
B.06 1 25 1 3.96669 6 0.988032 0.941276 0.750103 35 1 3.82436 6 0.988289 0.937333 0.711828
F.08 1 22 1 1.84089 2 0.837778 0 0 30 1 1.84087 2 0.838067 0 0
B.07 1 26 1 3.97605 6 0.98808 0.941845 0.752469 35 1 3.81516 6 0.988244 0.936689 0.70815
E.04 1 22 1 1.84902 3 0.845158 0.000713306 0 29 1 1.85244 3 0.849533 6.66667e-05 0
C.01 1 90 1 4.31084 7 0.992837 0.9648 0.843827 123 1 4.14997 6 0.993 0.962386 0.818458
B.10 1 26 1 3.96149 6 0.98797 0.940844 0.747037 35 1 3.82125 6 0.988256 0.936939 0.709867
A.15 1 2 1 3.29243 5 0.964877 0.838025 0.441111 3 1 3.17035 5 0.9652 0.82285 0.36275
C.19 1 91 1 4.30435 7 0.992832 0.964612 0.84239 124 1 4.13341 6 0.99296 0.961864 0.814528
B.02 1 26 1 3.98947 7 0.988066 0.941968 0.755069 36 1 3.82897 6 0.98825 0.93705 0.7123
E.06 1 22 1 1.85067 3 0.845844 0.00167353 0 30 1 1.85235 3 0.849089 0.000422222 0
E.18 1 22 1 1.86579 3 0.85561 0.00696845 0 31 1 1.86317 3 0.857044 0.00324444 0
C.20 1 91 1 4.2767 7 0.99277 0.963946 0.838351 125 1 4.12789 6 0.992952 0.961728 0.813996
