@relation R_data_frame

@attribute instance_id string
@attribute algorithm string
@attribute time numeric
@attribute repetition numeric
@attribute runstatus {ok,timeout}

@data
F.04,lad,0.387,1,ok
C.18,lad,0.415,1,ok
A.04,lad,0.012,1,ok
C.02,lad,0.287,1,ok
E.01,lad,0.075,1,ok
F.20,lad,5.423,1,ok
B.20,lad,0.112,1,ok
C.08,lad,0.341,1,ok
B.11,lad,0.339,1,ok
C.10,lad,0.502,1,ok
B.06,lad,0.106,1,ok
F.08,lad,2.609,1,ok
B.07,lad,0.114,1,ok
E.04,lad,0.032,1,ok
C.01,lad,0.374,1,ok
B.10,lad,0.112,1,ok
A.15,lad,0.019,1,ok
C.19,lad,0.308,1,ok
B.02,lad,0.217,1,ok
E.06,lad,0.028,1,ok
E.18,lad,0.032,1,ok
C.20,lad,0.458,1,ok
F.02,lad,0.295,1,ok
F.11,lad,0.163,1,ok
F.12,lad,0.237,1,ok
E.05,lad,0.104,1,ok
B.16,lad,0.106,1,ok
A.08,lad,0.011,1,ok
C.14,lad,0.558,1,ok
F.16,lad,0.212,1,ok
F.06,lad,1.051,1,ok
A.03,lad,0.018,1,ok
E.19,lad,0.014,1,ok
C.15,lad,0.277,1,ok
A.16,lad,0.018,1,ok
B.14,lad,0.189,1,ok
A.02,lad,0.012,1,ok
F.14,lad,0.18,1,ok
F.05,lad,0.285,1,ok
B.09,lad,0.193,1,ok
A.01,lad,0.011,1,ok
C.05,lad,0.292,1,ok
B.01,lad,0.104,1,ok
A.09,lad,0.011,1,ok
A.07,lad,0.009,1,ok
F.03,lad,0.175,1,ok
E.12,lad,0.128,1,ok
C.06,lad,0.416,1,ok
C.09,lad,0.282,1,ok
B.17,lad,0.103,1,ok
C.07,lad,0.408,1,ok
E.09,lad,0.14,1,ok
E.17,lad,0.013,1,ok
C.11,lad,0.613,1,ok
F.10,lad,0.005,1,ok
A.17,lad,0.024,1,ok
B.15,lad,0.107,1,ok
E.03,lad,0.042,1,ok
F.19,lad,0.23,1,ok
A.12,lad,0.01,1,ok
B.08,lad,0.108,1,ok
F.17,lad,0.514,1,ok
C.04,lad,0.314,1,ok
B.19,lad,0.175,1,ok
C.16,lad,0.309,1,ok
C.17,lad,0.329,1,ok
E.08,lad,0.058,1,ok
F.13,lad,2.018,1,ok
A.20,lad,0.009,1,ok
E.02,lad,0.01,1,ok
E.16,lad,0.024,1,ok
B.12,lad,0.141,1,ok
F.09,lad,0.721,1,ok
A.10,lad,0.014,1,ok
F.18,lad,0.27,1,ok
E.10,lad,0.151,1,ok
A.06,lad,0.028,1,ok
E.15,lad,0.079,1,ok
E.07,lad,0.005,1,ok
E.11,lad,0.022,1,ok
B.03,lad,0.187,1,ok
B.18,lad,0.191,1,ok
C.03,lad,0.267,1,ok
A.18,lad,0.015,1,ok
F.15,lad,0.156,1,ok
A.19,lad,0.018,1,ok
C.12,lad,0.275,1,ok
B.05,lad,0.244,1,ok
A.13,lad,0.01,1,ok
A.05,lad,0.01,1,ok
F.01,lad,0.154,1,ok
E.20,lad,0.016,1,ok
B.13,lad,0.107,1,ok
A.14,lad,0.042,1,ok
B.04,lad,0.098,1,ok
C.13,lad,0.682,1,ok
F.07,lad,0.188,1,ok
E.13,lad,0.015,1,ok
E.14,lad,0.122,1,ok
A.11,lad,0.012,1,ok
si6_r005_m400.07,lad,110.267,1,ok
si6_r005_m400.00,lad,276.021,1,ok
si6_r005_m400.01,lad,225.684,1,ok
si6_r005_m400.02,lad,15.661,1,ok
si6_r005_m400.04,lad,6.254,1,ok
si6_r005_m400.05,lad,336.063,1,ok
si6_r005_m400.09,lad,7.618,1,ok
si6_r005_m400.03,lad,534.986,1,ok
si6_r005_m400.06,lad,5.716,1,ok
si6_r005_m400.08,lad,115.912,1,ok
si6_m4Dr6_m625.04,lad,0.102,1,ok
si6_m4Dr6_m625.01,lad,0.079,1,ok
si6_m4Dr6_m625.09,lad,0.09,1,ok
si6_m4Dr6_m625.07,lad,0.079,1,ok
si6_m4Dr6_m625.00,lad,0.085,1,ok
si6_m4Dr6_m625.08,lad,0.351,1,ok
si6_m4Dr6_m625.05,lad,0.076,1,ok
si6_m4Dr6_m625.06,lad,0.081,1,ok
si6_m4Dr6_m625.02,lad,0.083,1,ok
si6_m4Dr6_m625.03,lad,0.078,1,ok
si4_m4Dr2_m625.09,lad,0.189,1,ok
si4_m4Dr2_m625.04,lad,0.395,1,ok
si4_m4Dr2_m625.02,lad,0.044,1,ok
si4_m4Dr2_m625.07,lad,0.041,1,ok
si4_m4Dr2_m625.00,lad,0.098,1,ok
si4_m4Dr2_m625.08,lad,0.147,1,ok
si4_m4Dr2_m625.01,lad,0.143,1,ok
si4_m4Dr2_m625.06,lad,0.052,1,ok
si4_m4Dr2_m625.03,lad,0.386,1,ok
si4_m4Dr2_m625.05,lad,0.155,1,ok
si2_r001_m600.00,lad,8.812,1,ok
si2_r001_m600.06,lad,19.38,1,ok
si2_r001_m600.04,lad,3.226,1,ok
si2_r001_m600.07,lad,115.095,1,ok
si2_r001_m600.02,lad,289.686,1,ok
si2_r001_m600.08,lad,35.043,1,ok
si2_r001_m600.03,lad,45495.389,1,ok
si2_r001_m600.01,lad,36.801,1,ok
si2_r001_m600.05,lad,33.247,1,ok
si2_r001_m600.09,lad,145.968,1,ok
si2_m4Dr2_m256.09,lad,0.038,1,ok
si2_m4Dr2_m256.03,lad,0.042,1,ok
si2_m4Dr2_m256.04,lad,0.088,1,ok
si2_m4Dr2_m256.07,lad,0.008,1,ok
si2_m4Dr2_m256.00,lad,0.036,1,ok
si2_m4Dr2_m256.06,lad,0.083,1,ok
si2_m4Dr2_m256.08,lad,0.004,1,ok
si2_m4Dr2_m256.05,lad,0.009,1,ok
si2_m4Dr2_m256.01,lad,0.033,1,ok
si2_m4Dr2_m256.02,lad,0.021,1,ok
si6_r001_m600.09,lad,2.027,1,ok
si6_r001_m600.00,lad,27.539,1,ok
si6_r001_m600.07,lad,10.004,1,ok
si6_r001_m600.03,lad,31.464,1,ok
si6_r001_m600.01,lad,3.029,1,ok
si6_r001_m600.06,lad,2.448,1,ok
si6_r001_m600.08,lad,6.577,1,ok
si6_r001_m600.02,lad,29.743,1,ok
si6_r001_m600.04,lad,4.259,1,ok
si6_r001_m600.05,lad,2.94,1,ok
si2_m4Dr2_m1296.05,lad,0.57,1,ok
si2_m4Dr2_m1296.09,lad,0.744,1,ok
si2_m4Dr2_m1296.02,lad,2.244,1,ok
