@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute cheap_pattern numeric
@attribute cheap_target numeric
@attribute distance_pattern numeric
@attribute distance_target numeric
@attribute lad_features numeric

@data
A.01,1,0,0,0.003,0.003,0
A.02,1,0,0,0.003,0.003,0
A.03,1,0,0,0.003,0.003,0
A.04,1,0,0,0.003,0.003,0
A.05,1,0,0,0.003,0.003,0
A.06,1,0,0,0.003,0.003,0
A.07,1,0,0,0.003,0.003,0
A.08,1,0,0,0.003,0.003,0
A.09,1,0,0,0.003,0.003,0
A.10,1,0,0,0.003,0.003,0
A.11,1,0,0,0.003,0.003,0
A.12,1,0,0,0.003,0.003,0
A.13,1,0,0,0.003,0.003,0
A.14,1,0,0,0.003,0.003,0
A.15,1,0,0,0.003,0.003,0
A.16,1,0,0,0.003,0.003,0
A.17,1,0,0,0.003,0.003,0
A.18,1,0,0,0.003,0.003,0
A.19,1,0,0,0.003,0.003,0
A.20,1,0,0,0.003,0.003,0
B.01,1,0,0,0.034,0.034,0.004
B.02,1,0,0,0.036,0.036,0.003
B.03,1,0,0,0.035,0.035,0.004
B.04,1,0,0,0.034,0.034,0.004
B.05,1,0,0,0.034,0.034,0.004
B.06,1,0,0,0.035,0.035,0.003
B.07,1,0,0,0.035,0.035,0.004
B.08,1,0,0,0.034,0.034,0.003
B.09,1,0,0,0.034,0.034,0.003
B.10,1,0,0,0.035,0.035,0.004
B.11,1,0,0,0.035,0.035,0.003
B.12,1,0,0,0.035,0.035,0.003
B.13,1,0,0,0.035,0.035,0.003
B.14,1,0,0,0.035,0.035,0.004
B.15,1,0,0,0.035,0.035,0.004
B.16,1,0,0,0.035,0.035,0.004
B.17,1,0,0,0.035,0.035,0.004
B.18,1,0,0,0.034,0.034,0.004
B.19,1,0,0,0.034,0.034,0.004
B.20,1,0,0,0.034,0.034,0.003
C.01,1,0.001,0.001,0.123,0.123,0.01
C.02,1,0.001,0.001,0.122,0.122,0.011
C.03,1,0.001,0.001,0.121,0.121,0.011
C.04,1,0.001,0.001,0.123,0.123,0.011
C.05,1,0.001,0.001,0.123,0.123,0.011
C.06,1,0.001,0.001,0.123,0.123,0.011
C.07,1,0.001,0.001,0.125,0.125,0.01
C.08,1,0.001,0.001,0.122,0.122,0.01
C.09,1,0.001,0.001,0.122,0.122,0.012
C.10,1,0.001,0.001,0.124,0.124,0.011
C.11,1,0.001,0.001,0.121,0.121,0.009
C.12,1,0.001,0.001,0.122,0.122,0.01
C.13,1,0.001,0.001,0.123,0.123,0.01
C.14,1,0.001,0.001,0.124,0.124,0.012
C.15,1,0.001,0.001,0.122,0.122,0.01
C.16,1,0.001,0.001,0.123,0.123,0.01
C.17,1,0.001,0.001,0.122,0.122,0.009
C.18,1,0.001,0.001,0.122,0.122,0.01
C.19,1,0.001,0.001,0.124,0.124,0.011
C.20,1,0.001,0.001,0.125,0.125,0.012
E.01,1,0,0,0.03,0.03,0.008
E.02,1,0,0,0.03,0.03,0.002
E.03,1,0,0,0.029,0.029,0.004
E.04,1,0,0,0.029,0.029,0.004
E.05,1,0,0,0.03,0.03,0.012
E.06,1,0,0,0.03,0.03,0.004
E.07,1,0,0,0.03,0.03,0.002
E.08,1,0,0,0.03,0.03,0.006
E.09,1,0,0,0.029,0.029,0.014
E.10,1,0,0,0.03,0.03,0.013
E.11,1,0,0,0.029,0.029,0.004
E.12,1,0,0,0.03,0.03,0.011
E.13,1,0,0,0.03,0.03,0.003
E.14,1,0,0,0.03,0.03,0.011
E.15,1,0,0,0.03,0.03,0.008
E.16,1,0,0,0.03,0.03,0.002
E.17,1,0,0,0.03,0.03,0.003
E.18,1,0,0,0.031,0.031,0.003
E.19,1,0,0,0.029,0.029,0.003
E.20,1,0,0,0.03,0.03,0.002
F.01,1,0,0,0.03,0.03,0.013
F.02,1,0,0,0.03,0.03,0.014
F.03,1,0,0,0.03,0.03,0.013
F.04,1,0,0,0.03,0.03,0.013
F.05,1,0,0,0.03,0.03,0.011
F.06,1,0,0,0.03,0.03,0.013
F.07,1,0,0,0.029,0.029,0.013
F.08,1,0,0,0.03,0.03,0.014
F.09,1,0,0,0.03,0.03,0.015
F.10,1,0,0,0.03,0.03,0.002
F.11,1,0,0,0.031,0.031,0.013
F.12,1,0,0,0.03,0.03,0.012
F.13,1,0,0,0.03,0.03,0.012
F.14,1,0,0,0.03,0.03,0.011
F.15,1,0,0,0.029,0.029,0.012
F.16,1,0,0,0.03,0.03,0.013
F.17,1,0,0,0.03,0.03,0.014
F.18,1,0,0,0.031,0.031,0.013
F.19,1,0,0,0.03,0.03,0.013
F.20,1,0,0,0.03,0.03,0.014
g10-g100,1,0,0.005,0.131,0.131,0
g10-g101,1,0,0.006,0.686,0.686,0.001
g10-g102,1,0,0.006,0.829,0.829,0.002
g10-g103,1,0,0.006,1.147,1.147,0.003
g10-g104,1,0,0.014,1.397,1.397,0.004
g10-g105,1,0,0.014,1.404,1.404,0.004
g10-g106,1,0,0.025,4.955,4.955,0.009
g10-g107,1,0,0.025,2.978,2.978,0.007
g10-g108,1,0,0.029,3.669,3.669,0.007
g10-g109,1,0,0.031,4.21,4.21,0.006
g10-g11,1,0,0,0,0,0
g10-g110,1,0,0.036,9.934,9.934,0.018
g10-g111,1,0,0.041,5.766,5.766,0.011
g10-g112,1,0,0.054,5.942,5.942,0.078
g10-g12,1,0,0,0,0,0
g10-g13,1,0,0,0,0,0
g10-g14,1,0,0,0,0,0
g10-g15,1,0,0,0,0,0
g10-g16,1,0,0,0,0,0
g10-g20,1,0,0,0,0,0
g10-g21,1,0,0,0,0,0
g10-g22,1,0,0,0,0,0
g10-g23,1,0,0,0,0,0
g10-g25,1,0,0,0,0,0
g10-g26,1,0,0,0,0,0
g10-g27,1,0,0,0,0,0
