@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute cheap.pattern.vertices numeric
@attribute cheap.pattern.edges numeric
@attribute cheap.pattern.loops numeric
@attribute cheap.pattern.meandeg numeric
@attribute cheap.pattern.maxdeg numeric
@attribute cheap.pattern.degisfixed numeric
@attribute cheap.pattern.density numeric
@attribute cheap.target.vertices numeric
@attribute cheap.target.edges numeric
@attribute cheap.target.loops numeric
@attribute cheap.target.meandeg numeric
@attribute cheap.target.maxdeg numeric
@attribute cheap.target.degisfixed numeric
@attribute cheap.target.density numeric
@attribute distance.pattern.isconnected numeric
@attribute distance.pattern.meandistance numeric
@attribute distance.pattern.maxdistance numeric
@attribute distance.pattern.proportiondistancege2 numeric
@attribute distance.pattern.proportiondistancege3 numeric
@attribute distance.pattern.proportiondistancege4 numeric
@attribute distance.target.isconnected numeric
@attribute distance.target.meandistance numeric
@attribute distance.target.maxdistance numeric
@attribute distance.target.proportiondistancege2 numeric
@attribute distance.target.proportiondistancege3 numeric
@attribute distance.target.proportiondistancege4 numeric
@attribute lad.values.removed numeric
@attribute lad.values.removed.percent numeric
@attribute lad.time numeric

@data
A.01,1,180,497,0,5.52222,8,0,0.03085,200,612,0,6.12,8,0,0.030754,1,3.25357,5,0.963765,0.829383,0.415988,1,3.14462,5,0.9644,0.81675,0.34545,15877,44.102778,0
A.02,1,180,491,0,5.45556,8,0,0.030478,200,601,0,6.01,8,0,0.030201,1,3.27083,5,0.964136,0.833333,0.428395,1,3.17457,5,0.96495,0.82225,0.36615,15798,43.883333,0
A.03,1,180,503,0,5.58889,8,0,0.031223,200,609,0,6.09,8,0,0.030603,1,3.21986,5,0.963395,0.825062,0.396358,1,3.15266,5,0.96455,0.81745,0.3515,16690,46.361111,0
A.04,1,180,496,0,5.51111,8,0,0.030788,200,611,0,6.11,8,0,0.030704,1,3.24053,5,0.963827,0.82821,0.411667,1,3.14085,5,0.96445,0.81575,0.34385,15956,44.322222,0
A.05,1,180,491,0,5.45556,8,0,0.030478,200,604,0,6.04,8,0,0.030352,1,3.24438,6,0.964136,0.829938,0.412222,1,3.14693,5,0.9648,0.8177,0.3467,16816,46.711111,0
A.06,1,180,483,0,5.36667,8,0,0.029981,200,604,0,6.04,8,0,0.030352,1,3.29212,6,0.96463,0.835802,0.438333,1,3.16141,5,0.9648,0.8193,0.3568,14868,41.3,0
A.07,1,180,488,0,5.42222,8,0,0.030292,200,592,0,5.92,8,0,0.029749,1,3.25798,6,0.964321,0.831667,0.420062,1,3.17884,5,0.9654,0.82445,0.3692,19021,52.836111,0
A.08,1,180,491,0,5.45556,8,0,0.030478,200,597,0,5.97,8,0,0.03,1,3.2712,6,0.964136,0.832778,0.429259,1,3.18171,5,0.96515,0.8246,0.37145,19316,53.655556,0
A.09,1,180,483,0,5.36667,8,0,0.029981,200,596,0,5.96,8,0,0.02995,1,3.29013,6,0.96463,0.836049,0.43821,1,3.18005,5,0.9652,0.82375,0.3691,17655,49.041667,0
A.10,1,180,493,0,5.47778,8,0,0.030602,200,612,0,6.12,8,0,0.030754,1,3.245,5,0.964012,0.828951,0.41216,1,3.12663,5,0.9644,0.8144,0.3325,15995,44.430556,0
